word,donald-trump,kamala-harris,rfk-jr,scale
365,0.0,1.0,0.0,0.002936857562408223
century,0.0,1.0,0.0,0.002936857562408223
dobbs,0.0,1.0,0.0,0.002936857562408223
doug,0.0,1.0,0.0,0.002936857562408223
evening,0.0,1.0,0.0,0.002936857562408223
ghana,0.0,1.0,0.0,0.002936857562408223
morning,0.0,1.0,0.0,0.002936857562408223
roy,0.0,1.0,0.0,0.002936857562408223
seoul,0.0,1.0,0.0,0.002936857562408223
106,0.0,1.0,0.0,0.0022026431718061676
300,0.0,1.0,0.0,0.0022026431718061676
adams,0.0,1.0,0.0,0.0022026431718061676
anya,0.0,1.0,0.0,0.0022026431718061676
artemis,0.0,1.0,0.0,0.0022026431718061676
asia,0.0,1.0,0.0,0.0022026431718061676
benedict,0.0,1.0,0.0,0.0022026431718061676
black,0.0,1.0,0.0,0.0022026431718061676
caribbean,0.0,1.0,0.0,0.0022026431718061676
christoph,0.0,1.0,0.0,0.0022026431718061676
college,0.0,1.0,0.0,0.0022026431718061676
conference,0.0,1.0,0.0,0.0022026431718061676
delaware,0.0,1.0,0.0,0.0022026431718061676
florida,0.0,1.0,0.0,0.0022026431718061676
god,0.0,1.0,0.0,0.0022026431718061676
julie,0.0,1.0,0.0,0.0022026431718061676
kelly,0.0,1.0,0.0,0.0022026431718061676
later,0.0,1.0,0.0,0.0022026431718061676
national,0.0,1.0,0.0,0.0022026431718061676
nations,0.0,1.0,0.0,0.0022026431718061676
navalny,0.0,1.0,0.0,0.0022026431718061676
representatives,0.0,1.0,0.0,0.0022026431718061676
democratic,0.0,0.0,1.0,0.01921537229783827
constitution,0.0,0.0,1.0,0.018414731785428344
nicole,0.0,0.0,1.0,0.018414731785428344
rights,0.0,0.0,1.0,0.017614091273018415
amendment,0.0,0.0,1.0,0.01200960768614892
oakland,0.0,0.0,1.0,0.008807045636509208
george,0.0,0.0,1.0,0.006405124099279423
trillion,0.0,0.0,1.0,0.006405124099279423
cia,0.0,0.0,1.0,0.005604483586869495
34,0.0,0.0,1.0,0.004803843074459567
kennedy,0.0,0.0,1.0,0.004803843074459567
street,0.0,0.0,1.0,0.004803843074459567
blackrock,0.0,0.0,1.0,0.0040032025620496394
land,0.0,0.0,1.0,0.0040032025620496394
1776,0.0,0.0,1.0,0.0032025620496397116
1968,0.0,0.0,1.0,0.0032025620496397116
boston,0.0,0.0,1.0,0.0032025620496397116
court,0.0,0.0,1.0,0.0032025620496397116
decade,0.0,0.0,1.0,0.0032025620496397116
edward,0.0,0.0,1.0,0.0032025620496397116
harris,0.0,0.0,1.0,0.0032025620496397116
john,0.0,0.0,1.0,0.0032025620496397116
kamala,0.0,0.0,1.0,0.0032025620496397116
madison,0.0,0.0,1.0,0.0032025620496397116
promised,0.0,0.0,1.0,0.0032025620496397116
snowden,0.0,0.0,1.0,0.0032025620496397116
supreme,0.0,0.0,1.0,0.0032025620496397116
tens,0.0,0.0,1.0,0.0032025620496397116
70,0.0,0.0,1.0,0.0024019215372297837
ai,0.0,0.0,1.0,0.0024019215372297837
cheryl,0.0,0.0,1.0,0.0024019215372297837
civil,0.0,0.0,1.0,0.0024019215372297837
cnn,0.0,0.0,1.0,0.0024019215372297837
committee,0.0,0.0,1.0,0.0024019215372297837
constitutional,0.0,0.0,1.0,0.0024019215372297837
convention,0.0,0.0,1.0,0.0024019215372297837
declaration,0.0,0.0,1.0,0.0024019215372297837
dnc,0.0,0.0,1.0,0.0024019215372297837
egypt,0.0,0.0,1.0,0.0024019215372297837
epa,0.0,0.0,1.0,0.0024019215372297837
fbi,0.0,0.0,1.0,0.0024019215372297837
framers,0.0,0.0,1.0,0.0024019215372297837
gen,0.0,0.0,1.0,0.0024019215372297837
independence,0.0,0.0,1.0,0.0024019215372297837
main,0.0,0.0,1.0,0.0024019215372297837
mason,0.0,0.0,1.0,0.0024019215372297837
mkultra,0.0,0.0,1.0,0.0024019215372297837
monsanto,0.0,0.0,1.0,0.0024019215372297837
muwekma,0.0,0.0,1.0,0.0024019215372297837
nbc,0.0,0.0,1.0,0.0024019215372297837
shanahan,0.0,0.0,1.0,0.0024019215372297837
